TableType,Operation,Case,TableSize,Time
Cuckoo,Add,pessimistic,10000,75.458
Cuckoo,Remove,pessimistic,10000,48.972
SeparateChaining,Add,optimistic,50000,1276.55
SeparateChaining,Remove,optimistic,50000,48.429
OpenAddressing,Add,optimistic,50000,4216.04
OpenAddressing,Remove,optimistic,50000,3481.65
Cuckoo,Add,optimistic,50000,43.86
Cuckoo,Remove,optimistic,50000,31.716
SeparateChaining,Add,average,50000,72.696
SeparateChaining,Remove,average,50000,50.959
OpenAddressing,Add,average,50000,36.556
OpenAddressing,Remove,average,50000,33.851
Cuckoo,Add,average,50000,39.089
Cuckoo,Remove,average,50000,37.703
SeparateChaining,Add,pessimistic,50000,1562.16
SeparateChaining,Remove,pessimistic,50000,44.239
OpenAddressing,Add,pessimistic,50000,3993.48
OpenAddressing,Remove,pessimistic,50000,3590.73
Cuckoo,Add,pessimistic,50000,52.794
Cuckoo,Remove,pessimistic,50000,31.95
SeparateChaining,Add,optimistic,100000,1346.1
SeparateChaining,Remove,optimistic,100000,61.476
OpenAddressing,Add,optimistic,100000,5207.84
OpenAddressing,Remove,optimistic,100000,4302.32
Cuckoo,Add,optimistic,100000,71.795
Cuckoo,Remove,optimistic,100000,61.338
SeparateChaining,Add,average,100000,138.899
SeparateChaining,Remove,average,100000,68.886
OpenAddressing,Add,average,100000,72.051
OpenAddressing,Remove,average,100000,56.032
Cuckoo,Add,average,100000,50.703
Cuckoo,Remove,average,100000,59.659
SeparateChaining,Add,pessimistic,100000,1198.46
SeparateChaining,Remove,pessimistic,100000,62.035
OpenAddressing,Add,pessimistic,100000,3790.69
OpenAddressing,Remove,pessimistic,100000,3512.62
Cuckoo,Add,pessimistic,100000,56.511
Cuckoo,Remove,pessimistic,100000,44.789
