TableType,Operation,Case,TableSize,Time
SeparateChaining,Add,optimistic,5000,120935
SeparateChaining,Remove,optimistic,5000,490.236
OpenAddressing,Add,optimistic,5000,352647
OpenAddressing,Remove,optimistic,5000,320551
Cuckoo,Add,optimistic,5000,2665.63
Cuckoo,Remove,optimistic,5000,387.854
SeparateChaining,Add,average,5000,823.723
SeparateChaining,Remove,average,5000,457.55
OpenAddressing,Add,average,5000,5991.02
OpenAddressing,Remove,average,5000,7307.32
Cuckoo,Add,average,5000,1763.13
Cuckoo,Remove,average,5000,375.275
SeparateChaining,Add,pessimistic,5000,117529
SeparateChaining,Remove,pessimistic,5000,457.504
OpenAddressing,Add,pessimistic,5000,352991
OpenAddressing,Remove,pessimistic,5000,318940
Cuckoo,Add,pessimistic,5000,2692.6
Cuckoo,Remove,pessimistic,5000,379.8
SeparateChaining,Add,optimistic,10000,479812
SeparateChaining,Remove,optimistic,10000,951.778
OpenAddressing,Add,optimistic,10000,826828
OpenAddressing,Remove,optimistic,10000,756277
Cuckoo,Add,optimistic,10000,6023.38
Cuckoo,Remove,optimistic,10000,765.382
SeparateChaining,Add,average,10000,1588.94
SeparateChaining,Remove,average,10000,947.438
OpenAddressing,Add,average,10000,15646.9
OpenAddressing,Remove,average,10000,28251.3
Cuckoo,Add,average,10000,3869.92
Cuckoo,Remove,average,10000,771.98
SeparateChaining,Add,pessimistic,10000,478005
SeparateChaining,Remove,pessimistic,10000,926.439
OpenAddressing,Add,pessimistic,10000,815615
OpenAddressing,Remove,pessimistic,10000,740966
Cuckoo,Add,pessimistic,10000,6017.18
Cuckoo,Remove,pessimistic,10000,765.234
